Time,Datapoint
2013-08-28 0:0:1.53,60.6061
2013-08-28 0:0:2.52,60.6061
2013-08-28 0:0:3.5099999999999998,61.2245
2013-08-28 0:0:4.4900000000000002,58.2524
2013-08-28 0:0:5.5199999999999996,55.5556
2013-08-28 0:0:6.5999999999999996,54.0541
2013-08-28 0:0:7.71,57.1429
2013-08-28 0:0:8.7599999999999998,60
2013-08-28 0:0:9.7599999999999998,61.8557
2013-08-28 0:0:10.73,59.4059
2013-08-28 0:0:11.74,57.1429
2013-08-28 0:0:12.789999999999999,60.6061
2013-08-28 0:0:13.779999999999999,62.5
2013-08-28 0:0:14.74,63.8298
2013-08-28 0:0:15.68,63.1579
2013-08-28 0:0:16.629999999999999,60
2013-08-28 0:0:17.629999999999999,63.1579
2013-08-28 0:0:18.579999999999998,63.1579
2013-08-28 0:0:19.530000000000001,64.5161
2013-08-28 0:0:20.460000000000001,58.8235
2013-08-28 0:0:21.48,57.1429
2013-08-28 0:0:22.530000000000001,62.5
2013-08-28 0:0:23.489999999999998,65.2174
2013-08-28 0:0:24.41,65.9341
2013-08-28 0:0:25.32,67.4157
2013-08-28 0:0:26.210000000000001,68.1818
2013-08-28 0:0:27.09,71.4286
2013-08-28 0:0:27.93,68.9655
2013-08-28 0:0:28.800000000000001,65.9341
2013-08-28 0:0:29.710000000000001,65.2174
2013-08-28 0:0:30.629999999999999,66.6667
2013-08-28 0:0:31.530000000000001,65.2174
2013-08-28 0:0:32.450000000000003,62.5
2013-08-28 0:0:33.409999999999997,62.5
2013-08-28 0:0:34.369999999999997,63.8298
2013-08-28 0:0:35.310000000000002,64.5161
2013-08-28 0:0:36.240000000000002,63.8298
2013-08-28 0:0:37.18,63.1579
2013-08-28 0:0:38.130000000000003,66.6667
2013-08-28 0:0:39.030000000000001,67.4157
2013-08-28 0:0:39.920000000000002,67.4157
2013-08-28 0:0:40.810000000000002,68.9655
2013-08-28 0:0:41.68,68.9655
2013-08-28 0:0:42.549999999999997,71.4286
2013-08-28 0:0:43.390000000000001,71.4286
2013-08-28 0:0:44.229999999999997,71.4286
2013-08-28 0:0:45.07,71.4286
2013-08-28 0:0:45.909999999999997,69.7674
2013-08-28 0:0:46.770000000000003,66.6667
2013-08-28 0:0:47.670000000000002,64.5161
2013-08-28 0:0:48.600000000000001,61.2245
2013-08-28 0:0:49.579999999999998,59.4059
2013-08-28 0:0:50.590000000000003,58.2524
2013-08-28 0:0:51.619999999999997,57.1429
2013-08-28 0:0:52.670000000000002,56.0748
2013-08-28 0:0:53.740000000000002,57.6923
2013-08-28 0:0:54.780000000000001,61.8557
2013-08-28 0:0:55.75,62.5
2013-08-28 0:0:56.710000000000001,61.8557
2013-08-28 0:0:57.68,59.4059
2013-08-28 0:0:58.689999999999998,58.8235
2013-08-28 0:0:59.710000000000001,59.4059
2013-08-28 0:1:0.71999999999999886,59.4059
2013-08-28 0:1:1.7299999999999969,61.8557
2013-08-28 0:1:2.7000000000000028,61.2245
2013-08-28 0:1:3.6799999999999997,58.8235
2013-08-28 0:1:4.7000000000000028,59.4059
2013-08-28 0:1:5.7099999999999937,60.6061
2013-08-28 0:1:6.7000000000000028,61.2245
2013-08-28 0:1:7.6800000000000068,58.8235
2013-08-28 0:1:8.7000000000000028,58.8235
2013-08-28 0:1:9.7199999999999989,59.4059
2013-08-28 0:1:10.730000000000004,61.2245
2013-08-28 0:1:11.709999999999994,61.8557
2013-08-28 0:1:12.680000000000007,63.8298
2013-08-28 0:1:13.620000000000005,63.8298
2013-08-28 0:1:14.560000000000002,60
2013-08-28 0:1:15.560000000000002,56.6038
2013-08-28 0:1:16.620000000000005,55.5556
2013-08-28 0:1:17.700000000000003,60
2013-08-28 0:1:18.700000000000003,61.2245
2013-08-28 0:1:19.680000000000007,60
2013-08-28 0:1:20.680000000000007,57.6923
2013-08-28 0:1:21.719999999999999,61.8557
2013-08-28 0:1:22.689999999999998,65.2174
2013-08-28 0:1:23.609999999999999,65.2174
2013-08-28 0:1:24.530000000000001,65.2174
2013-08-28 0:1:25.450000000000003,68.1818
2013-08-28 0:1:26.329999999999998,70.5882
2013-08-28 0:1:27.180000000000007,69.7674
2013-08-28 0:1:28.040000000000006,65.9341
2013-08-28 0:1:28.950000000000003,62.5
2013-08-28 0:1:29.909999999999997,56.6038
2013-08-28 0:1:30.969999999999999,54.5455
2013-08-28 0:1:32.069999999999993,57.1429
2013-08-28 0:1:33.120000000000005,58.8235
2013-08-28 0:1:34.140000000000001,60
2013-08-28 0:1:35.140000000000001,56.6038
2013-08-28 0:1:36.200000000000003,55.0459
2013-08-28 0:1:37.290000000000006,53.0973
2013-08-28 0:1:38.420000000000002,56.6038
2013-08-28 0:1:39.480000000000004,60
2013-08-28 0:1:40.480000000000004,57.6923
2013-08-28 0:1:41.519999999999996,57.1429
2013-08-28 0:1:42.569999999999993,57.6923
2013-08-28 0:1:43.609999999999999,60.6061
2013-08-28 0:1:44.599999999999994,61.8557
2013-08-28 0:1:45.569999999999993,58.2524
2013-08-28 0:1:46.599999999999994,57.6923
2013-08-28 0:1:47.640000000000001,56.6038
2013-08-28 0:1:48.700000000000003,58.8235
2013-08-28 0:1:49.719999999999999,60.6061
2013-08-28 0:1:50.709999999999994,63.1579
2013-08-28 0:1:51.659999999999997,59.4059
2013-08-28 0:1:52.670000000000002,56.0748
2013-08-28 0:1:53.739999999999995,48
2013-08-28 0:1:56.329999999999998,52.1739
2013-08-28 0:1:57.480000000000004,57.1429
2013-08-28 0:1:58.530000000000001,58.2524
2013-08-28 0:1:59.560000000000002,57.6923
2013-08-28 0:2:0.59999999999999432,60
2013-08-28 0:2:1.5999999999999943,63.8298
2013-08-28 0:2:2.5400000000000063,56.6038
2013-08-28 0:2:3.5999999999999943,61.2245
2013-08-28 0:2:4.5799999999999983,60.6061
2013-08-28 0:2:5.5699999999999932,68.9655
2013-08-28 0:2:6.4399999999999977,68.9655
2013-08-28 0:2:7.3100000000000023,68.9655
2013-08-28 0:2:8.1800000000000068,66.6667
2013-08-28 0:2:9.0800000000000125,66.6667
2013-08-28 0:2:9.9799999999999898,66.6667
2013-08-28 0:2:10.879999999999995,66.6667
2013-08-28 0:2:11.780000000000001,63.1579
2013-08-28 0:2:12.72999999999999,61.8557
2013-08-28 0:2:13.699999999999989,61.8557
2013-08-28 0:2:14.669999999999987,62.5
2013-08-28 0:2:15.629999999999995,62.5
2013-08-28 0:2:16.590000000000003,62.5
2013-08-28 0:2:17.550000000000011,64.5161
2013-08-28 0:2:18.47999999999999,65.2174
2013-08-28 0:2:19.400000000000006,62.5
2013-08-28 0:2:20.360000000000014,65.2174
2013-08-28 0:2:21.280000000000001,64.5161
2013-08-28 0:2:22.210000000000008,64.5161
2013-08-28 0:2:23.139999999999986,65.9341
2013-08-28 0:2:24.050000000000011,65.2174
2013-08-28 0:2:24.969999999999999,68.1818
2013-08-28 0:2:25.849999999999994,68.9655
2013-08-28 0:2:26.719999999999999,67.4157
2013-08-28 0:2:27.610000000000014,68.1818
2013-08-28 0:2:28.490000000000009,65.2174
2013-08-28 0:2:29.409999999999997,63.1579
2013-08-28 0:2:30.360000000000014,61.2245
2013-08-28 0:2:31.340000000000003,61.8557
2013-08-28 0:2:32.310000000000002,62.5
2013-08-28 0:2:33.27000000000001,60
2013-08-28 0:2:34.27000000000001,57.6923
2013-08-28 0:2:35.310000000000002,56.0748
2013-08-28 0:2:36.379999999999995,56.6038
2013-08-28 0:2:37.439999999999998,58.8235
2013-08-28 0:2:38.460000000000008,59.4059
2013-08-28 0:2:39.469999999999999,58.2524
2013-08-28 0:2:40.5,58.2524
2013-08-28 0:2:41.530000000000001,61.2245
2013-08-28 0:2:42.509999999999991,62.5
2013-08-28 0:2:43.469999999999999,60.6061
2013-08-28 0:2:44.460000000000008,58.2524
2013-08-28 0:2:45.490000000000009,54.5455
2013-08-28 0:2:46.590000000000003,54.0541
2013-08-28 0:2:47.699999999999989,56.6038
2013-08-28 0:2:48.759999999999991,58.8235
2013-08-28 0:2:49.780000000000001,56.6038
2013-08-28 0:2:50.840000000000003,56.6038
2013-08-28 0:2:51.900000000000006,57.1429
2013-08-28 0:2:52.949999999999989,57.6923
2013-08-28 0:2:53.990000000000009,60.6061
2013-08-28 0:2:54.97999999999999,63.8298
2013-08-28 0:2:55.919999999999987,63.1579
2013-08-28 0:2:56.870000000000005,63.8298
2013-08-28 0:2:57.810000000000002,63.8298
2013-08-28 0:2:58.75,59.4059
2013-08-28 0:2:59.759999999999991,57.1429
2013-08-28 0:3:0.81000000000000227,56.0748
2013-08-28 0:3:1.8799999999999955,57.1429
2013-08-28 0:3:2.9300000000000068,58.2524
2013-08-28 0:3:3.960000000000008,55.5556
2013-08-28 0:3:5.039999999999992,53.0973
2013-08-28 0:3:6.1699999999999875,55.5556
2013-08-28 0:3:7.25,58.8235
2013-08-28 0:3:8.2700000000000102,61.8557
2013-08-28 0:3:9.2400000000000091,60.6061
2013-08-28 0:3:10.22999999999999,60.6061
2013-08-28 0:3:11.219999999999999,64.5161
2013-08-28 0:3:12.150000000000006,65.2174
2013-08-28 0:3:13.069999999999993,63.1579
2013-08-28 0:3:14.02000000000001,58.8235
2013-08-28 0:3:15.039999999999992,56.6038
2013-08-28 0:3:16.099999999999994,58.2524
2013-08-28 0:3:17.129999999999995,56.6038
2013-08-28 0:3:18.189999999999998,54.5455
2013-08-28 0:3:19.289999999999992,57.1429
2013-08-28 0:3:20.340000000000003,60
2013-08-28 0:3:21.340000000000003,61.2245
2013-08-28 0:3:22.319999999999993,63.1579
2013-08-28 0:3:23.27000000000001,64.5161
2013-08-28 0:3:24.199999999999989,67.4157
2013-08-28 0:3:25.090000000000003,65.9341
2013-08-28 0:3:26.0,66.6667
2013-08-28 0:3:26.900000000000006,65.2174
2013-08-28 0:3:27.819999999999993,61.8557
2013-08-28 0:3:28.789999999999992,58.8235
2013-08-28 0:3:29.810000000000002,58.2524
2013-08-28 0:3:30.840000000000003,59.4059
2013-08-28 0:3:31.849999999999994,59.4059
2013-08-28 0:3:32.860000000000014,58.8235
2013-08-28 0:3:33.879999999999995,58.8235
2013-08-28 0:3:34.900000000000006,62.5
2013-08-28 0:3:35.860000000000014,61.8557
2013-08-28 0:3:36.830000000000013,61.2245
2013-08-28 0:3:37.810000000000002,60.6061
2013-08-28 0:3:38.800000000000011,61.8557
2013-08-28 0:3:39.77000000000001,61.8557
2013-08-28 0:3:40.740000000000009,59.4059
2013-08-28 0:3:41.75,61.2245
2013-08-28 0:3:42.72999999999999,61.8557
2013-08-28 0:3:43.699999999999989,61.8557
2013-08-28 0:3:44.669999999999987,60.6061
2013-08-28 0:3:45.659999999999997,61.8557
2013-08-28 0:3:46.629999999999995,63.1579
2013-08-28 0:3:47.580000000000013,61.8557
2013-08-28 0:3:48.550000000000011,61.8557
2013-08-28 0:3:49.52000000000001,64.5161
2013-08-28 0:3:50.449999999999989,63.8298
2013-08-28 0:3:51.389999999999986,61.2245
2013-08-28 0:3:52.370000000000005,61.8557
2013-08-28 0:3:53.340000000000003,63.8298
2013-08-28 0:3:54.280000000000001,63.1579
2013-08-28 0:3:55.22999999999999,62.5
2013-08-28 0:3:56.189999999999998,63.8298
2013-08-28 0:3:57.129999999999995,65.2174
2013-08-28 0:3:58.050000000000011,66.6667
2013-08-28 0:3:58.949999999999989,66.6667
2013-08-28 0:3:59.849999999999994,68.1818
