Time,Datapoint
2013-08-28 0:0:6.7599999999999998,69.7674
2013-08-28 0:0:7.6200000000000001,68.9655
2013-08-28 0:0:8.4900000000000002,65.2174
2013-08-28 0:0:9.4100000000000001,63.1579
2013-08-28 0:0:10.359999999999999,64.5161
2013-08-28 0:0:11.289999999999999,65.2174
2013-08-28 0:0:12.210000000000001,63.1579
2013-08-28 0:0:13.16,62.5
2013-08-28 0:0:14.119999999999999,65.2174
2013-08-28 0:0:15.039999999999999,65.9341
2013-08-28 0:0:15.949999999999999,65.2174
2013-08-28 0:0:16.870000000000001,65.2174
2013-08-28 0:0:17.789999999999999,64.5161
2013-08-28 0:0:18.719999999999999,66.6667
2013-08-28 0:0:19.620000000000001,68.9655
2013-08-28 0:0:20.489999999999998,69.7674
2013-08-28 0:0:21.350000000000001,68.9655
2013-08-28 0:0:22.219999999999999,68.9655
2013-08-28 0:0:25.66,70.5882
2013-08-28 0:0:26.510000000000002,70.5882
2013-08-28 0:0:27.359999999999999,72.2892
2013-08-28 0:0:28.190000000000001,73.1707
2013-08-28 0:0:29.010000000000002,72.2892
2013-08-28 0:0:29.84,71.4286
2013-08-28 0:0:30.68,70.5882
2013-08-28 0:0:31.530000000000001,71.4286
2013-08-28 0:0:32.369999999999997,72.2892
2013-08-28 0:0:33.200000000000003,70.5882
2013-08-28 0:0:34.049999999999997,69.7674
2013-08-28 0:0:34.909999999999997,73.1707
2013-08-28 0:0:38.299999999999997,71.4286
2013-08-28 0:0:39.140000000000001,73.1707
2013-08-28 0:0:39.960000000000001,73.1707
2013-08-28 0:0:40.780000000000001,71.4286
2013-08-28 0:0:41.619999999999997,70.5882
2013-08-28 0:0:42.469999999999999,71.4286
2013-08-28 0:0:43.310000000000002,71.4286
2013-08-28 0:0:44.149999999999999,71.4286
2013-08-28 0:0:44.990000000000002,70.5882
2013-08-28 0:0:45.840000000000003,70.5882
2013-08-28 0:0:49.189999999999998,74.0741
2013-08-28 0:0:50.0,75.9494
2013-08-28 0:0:50.789999999999999,76.9231
2013-08-28 0:0:51.57,75.9494
2013-08-28 0:0:52.359999999999999,80
2013-08-28 0:0:53.109999999999999,74.0741
2013-08-28 0:0:53.920000000000002,75
2013-08-28 0:0:54.719999999999999,74.0741
2013-08-28 0:0:55.530000000000001,73.1707
2013-08-28 0:0:56.350000000000001,73.1707
2013-08-28 0:0:57.170000000000002,73.1707
2013-08-28 0:0:57.990000000000002,71.4286
2013-08-28 0:0:58.829999999999998,71.4286
2013-08-28 0:0:59.670000000000002,72.2892
2013-08-28 0:1:0.5,73.1707
2013-08-28 0:1:1.3200000000000003,72.2892
2013-08-28 0:1:2.1499999999999986,71.4286
2013-08-28 0:1:2.990000000000002,71.4286
2013-08-28 0:1:3.8299999999999983,71.4286
2013-08-28 0:1:4.6700000000000017,72.2892
2013-08-28 0:1:5.5,70.5882
2013-08-28 0:1:6.3499999999999943,69.7674
2013-08-28 0:1:7.2099999999999937,68.1818
2013-08-28 0:1:8.0900000000000034,70.5882
2013-08-28 0:1:8.9399999999999977,71.4286
2013-08-28 0:1:9.7800000000000011,72.2892
2013-08-28 0:1:10.609999999999999,71.4286
2013-08-28 0:1:11.450000000000003,71.4286
2013-08-28 0:1:12.290000000000006,74.0741
2013-08-28 0:1:13.099999999999994,76.9231
2013-08-28 0:1:13.879999999999995,75
2013-08-28 0:1:14.680000000000007,78.9474
2013-08-28 0:1:15.439999999999998,75
2013-08-28 0:1:16.239999999999995,77.9221
2013-08-28 0:1:19.280000000000001,81.0811
2013-08-28 0:1:20.019999999999996,81.0811
2013-08-28 0:1:20.760000000000005,81.0811
2013-08-28 0:1:21.5,80
2013-08-28 0:1:22.25,77.9221
2013-08-28 0:1:23.019999999999996,77.9221
2013-08-28 0:1:23.790000000000006,76.9231
2013-08-28 0:1:24.569999999999993,75
2013-08-28 0:1:25.370000000000005,76.9231
2013-08-28 0:1:26.150000000000006,76.9231
2013-08-28 0:1:26.930000000000007,74.0741
2013-08-28 0:1:27.739999999999995,73.1707
2013-08-28 0:1:28.560000000000002,70.5882
2013-08-28 0:1:35.310000000000002,66.6667
2013-08-28 0:1:36.209999999999994,66.6667
2013-08-28 0:1:37.109999999999999,65.2174
2013-08-28 0:1:38.030000000000001,65.2174
2013-08-28 0:1:38.950000000000003,63.1579
2013-08-28 0:1:39.900000000000006,63.1579
2013-08-28 0:1:40.849999999999994,64.5161
2013-08-28 0:1:41.780000000000001,61.8557
2013-08-28 0:1:42.75,60
2013-08-28 0:1:43.75,59.4059
2013-08-28 0:1:44.760000000000005,60.6061
2013-08-28 0:1:45.75,59.4059
2013-08-28 0:1:46.760000000000005,57.1429
2013-08-28 0:1:47.810000000000002,57.1429
2013-08-28 0:1:48.859999999999999,61.2245
2013-08-28 0:1:49.840000000000003,64.5161
2013-08-28 0:1:50.769999999999996,64.5161
2013-08-28 0:1:51.700000000000003,64.5161
2013-08-28 0:1:52.629999999999995,65.9341
2013-08-28 0:1:53.540000000000006,68.1818
2013-08-28 0:1:54.420000000000002,69.7674
2013-08-28 0:1:55.280000000000001,68.9655
2013-08-28 0:1:56.150000000000006,68.9655
2013-08-28 0:1:57.019999999999996,67.4157
2013-08-28 0:1:57.909999999999997,69.7674
2013-08-28 0:1:58.769999999999996,69.7674
2013-08-28 0:1:59.629999999999995,69.7674
2013-08-28 0:2:0.48999999999999488,69.7674
2013-08-28 0:2:1.3499999999999943,69.7674
2013-08-28 0:2:2.2099999999999937,68.9655
2013-08-28 0:2:3.0799999999999983,70.5882
2013-08-28 0:2:3.9300000000000068,70.5882
2013-08-28 0:2:4.7800000000000011,69.7674
2013-08-28 0:2:5.6400000000000006,69.7674
2013-08-28 0:2:6.5,69.7674
2013-08-28 0:2:7.3599999999999994,71.4286
2013-08-28 0:2:8.1999999999999886,69.7674
2013-08-28 0:2:9.0600000000000023,68.9655
2013-08-28 0:2:9.9300000000000068,67.4157
2013-08-28 0:2:10.819999999999993,67.4157
2013-08-28 0:2:11.710000000000008,67.4157
2013-08-28 0:2:12.599999999999994,64.5161
2013-08-28 0:2:13.530000000000001,63.8298
2013-08-28 0:2:14.469999999999999,64.5161
2013-08-28 0:2:15.400000000000006,65.9341
2013-08-28 0:2:16.310000000000002,65.9341
2013-08-28 0:2:17.219999999999999,63.8298
2013-08-28 0:2:18.159999999999997,64.5161
2013-08-28 0:2:19.090000000000003,65.2174
2013-08-28 0:2:20.009999999999991,66.6667
2013-08-28 0:2:20.909999999999997,68.1818
2013-08-28 0:2:21.789999999999992,66.6667
2013-08-28 0:2:22.689999999999998,65.9341
2013-08-28 0:2:23.599999999999994,67.4157
2013-08-28 0:2:24.490000000000009,68.9655
2013-08-28 0:2:25.360000000000014,68.1818
2013-08-28 0:2:26.240000000000009,66.6667
2013-08-28 0:2:27.139999999999986,66.6667
2013-08-28 0:2:28.039999999999992,68.1818
2013-08-28 0:2:28.919999999999987,69.7674
2013-08-28 0:2:29.780000000000001,67.4157
2013-08-28 0:2:30.669999999999987,65.2174
2013-08-28 0:2:31.590000000000003,65.2174
2013-08-28 0:2:32.509999999999991,65.9341
2013-08-28 0:2:33.419999999999987,66.6667
2013-08-28 0:2:34.319999999999993,65.9341
2013-08-28 0:2:35.22999999999999,65.9341
2013-08-28 0:2:36.139999999999986,65.9341
2013-08-28 0:2:37.050000000000011,68.1818
2013-08-28 0:2:37.930000000000007,68.9655
2013-08-28 0:2:38.800000000000011,71.4286
2013-08-28 0:2:39.639999999999986,73.1707
2013-08-28 0:2:40.460000000000008,75.9494
2013-08-28 0:2:41.25,75.9494
2013-08-28 0:2:42.039999999999992,75.9494
2013-08-28 0:2:42.830000000000013,74.0741
2013-08-28 0:2:43.639999999999986,73.1707
2013-08-28 0:2:44.460000000000008,70.5882
2013-08-28 0:2:45.310000000000002,72.2892
2013-08-28 0:2:46.139999999999986,72.2892
2013-08-28 0:2:46.969999999999999,71.4286
2013-08-28 0:2:47.810000000000002,69.7674
2013-08-28 0:2:48.669999999999987,70.5882
2013-08-28 0:2:49.52000000000001,71.4286
2013-08-28 0:2:50.360000000000014,71.4286
2013-08-28 0:2:51.199999999999989,69.7674
2013-08-28 0:2:52.060000000000002,69.7674
2013-08-28 0:2:52.919999999999987,68.9655
2013-08-28 0:2:53.789999999999992,67.4157
2013-08-28 0:2:54.680000000000007,65.9341
2013-08-28 0:2:55.590000000000003,66.6667
2013-08-28 0:2:56.490000000000009,65.9341
2013-08-28 0:2:57.400000000000006,66.6667
2013-08-28 0:2:58.300000000000011,68.1818
2013-08-28 0:2:59.180000000000007,68.1818
2013-08-28 0:3:0.060000000000002274,66.6667
2013-08-28 0:3:0.96000000000000796,68.1818
2013-08-28 0:3:1.8400000000000034,67.4157
2013-08-28 0:3:2.7299999999999898,66.6667
2013-08-28 0:3:3.6299999999999955,62.5
2013-08-28 0:3:4.5900000000000034,57.1429
2013-08-28 0:3:5.6399999999999864,58.2524
2013-08-28 0:3:6.6699999999999875,61.2245
2013-08-28 0:3:7.6500000000000057,58.2524
2013-08-28 0:3:8.6800000000000068,62.5
2013-08-28 0:3:9.6399999999999864,67.4157
2013-08-28 0:3:10.530000000000001,65.9341
2013-08-28 0:3:11.439999999999998,68.1818
2013-08-28 0:3:12.319999999999993,71.4286
2013-08-28 0:3:13.159999999999997,71.4286
2013-08-28 0:3:14.0,68.9655
2013-08-28 0:3:14.870000000000005,72.2892
2013-08-28 0:3:15.699999999999989,73.1707
2013-08-28 0:3:16.52000000000001,73.1707
2013-08-28 0:3:17.340000000000003,74.0741
2013-08-28 0:3:18.150000000000006,74.0741
2013-08-28 0:3:18.960000000000008,75
2013-08-28 0:3:19.759999999999991,75
2013-08-28 0:3:20.560000000000002,74.0741
2013-08-28 0:3:21.370000000000005,76.9231
2013-08-28 0:3:22.150000000000006,76.9231
2013-08-28 0:3:22.930000000000007,75.9494
2013-08-28 0:3:23.719999999999999,76.9231
2013-08-28 0:3:24.5,76.9231
2013-08-28 0:3:25.280000000000001,76.9231
2013-08-28 0:3:26.060000000000002,76.9231
2013-08-28 0:3:26.840000000000003,75.9494
2013-08-28 0:3:27.629999999999995,75.9494
2013-08-28 0:3:28.419999999999987,75.9494
2013-08-28 0:3:29.210000000000008,75.9494
2013-08-28 0:3:30.0,74.0741
2013-08-28 0:3:30.810000000000002,73.1707
2013-08-28 0:3:31.629999999999995,74.0741
2013-08-28 0:3:32.439999999999998,74.0741
2013-08-28 0:3:33.25,74.0741
2013-08-28 0:3:34.060000000000002,75
2013-08-28 0:3:34.860000000000014,73.1707
2013-08-28 0:3:35.680000000000007,75
2013-08-28 0:3:36.47999999999999,75.9494
2013-08-28 0:3:37.27000000000001,74.0741
2013-08-28 0:3:38.080000000000013,75
2013-08-28 0:3:38.879999999999995,75
2013-08-28 0:3:39.680000000000007,74.0741
2013-08-28 0:3:40.490000000000009,74.0741
2013-08-28 0:3:41.300000000000011,74.0741
2013-08-28 0:3:42.110000000000014,70.5882
2013-08-28 0:3:42.960000000000008,68.9655
2013-08-28 0:3:43.830000000000013,68.9655
2013-08-28 0:3:44.699999999999989,69.7674
2013-08-28 0:3:45.560000000000002,70.5882
2013-08-28 0:3:46.409999999999997,69.7674
2013-08-28 0:3:47.27000000000001,66.6667
2013-08-28 0:3:48.169999999999987,65.9341
2013-08-28 0:3:49.080000000000013,65.9341
2013-08-28 0:3:49.990000000000009,68.1818
2013-08-28 0:3:50.870000000000005,70.5882
2013-08-28 0:3:51.719999999999999,73.1707
2013-08-28 0:3:52.539999999999992,72.2892
2013-08-28 0:3:53.370000000000005,71.4286
2013-08-28 0:3:54.210000000000008,70.5882
2013-08-28 0:3:55.060000000000002,70.5882
2013-08-28 0:3:55.909999999999997,70.5882
2013-08-28 0:3:56.759999999999991,70.5882
2013-08-28 0:3:57.610000000000014,71.4286
2013-08-28 0:3:58.449999999999989,72.2892
2013-08-28 0:3:59.280000000000001,71.4286
2013-08-28 0:4:0.12000000000000455,68.9655
2013-08-28 0:4:0.99000000000000909,68.9655
2013-08-28 0:4:1.8600000000000136,69.7674
2013-08-28 0:4:2.7199999999999989,68.9655
2013-08-28 0:4:3.5900000000000034,71.4286
2013-08-28 0:4:4.4300000000000068,71.4286
2013-08-28 0:4:5.2700000000000102,74.0741
2013-08-28 0:4:6.0800000000000125,72.2892
